Date,Open,High,Low,Close,Volume,Market Cap
16-Aug-17,297.97,307.62,290.21,300.21,"106,436,000","4,914,350,000"
15-Aug-17,298.19,306.52,292.88,297.86,"133,924,000","4,917,480,000"
14-Aug-17,296.1,327.39,293.5,297.68,"174,968,000","4,882,720,000"
13-Aug-17,316.29,317.47,298.05,298.05,"120,722,000","5,215,330,000"
12-Aug-17,327.82,341.85,313.7,317.09,"126,007,000","5,405,200,000"
11-Aug-17,275.88,351.16,275.02,328.24,"233,971,000","4,548,600,000"
10-Aug-17,305.21,311.68,274.68,275.95,"136,637,000","5,031,790,000"
9-Aug-17,345.28,349.32,298.61,303.89,"165,032,000","5,691,960,000"
8-Aug-17,321.35,386.29,309.61,345.49,"274,880,000","5,297,390,000"
7-Aug-17,223.76,373.87,223.76,319.69,"346,546,000","3,688,360,000"
6-Aug-17,212.18,223.7,203.45,220.66,"107,606,000","3,497,290,000"
5-Aug-17,231.11,273.04,200.98,213.15,"144,043,000","3,809,330,000"
4-Aug-17,362.18,386.93,233.05,233.05,"185,038,000","5,969,720,000"
3-Aug-17,448.49,519.28,364.05,364.05,"161,518,000","7,392,030,000"
2-Aug-17,382.38,756.93,309.33,452.66,"416,207,000","6,302,360,000"
1-Aug-17,294.6,426.11,210.39,380.01,"65,988,800",-
31-Jul-17,346.36,347.83,266.19,294.46,"1,075,960",-
30-Jul-17,385.14,385.14,316.25,345.66,"606,695",-
29-Jul-17,410.57,423.73,323.73,384.77,"737,815",-
28-Jul-17,386.65,465.18,217.06,406.05,"1,230,160",-
27-Jul-17,417.1,460.97,367.78,385.48,"533,207",-
26-Jul-17,407.08,486.16,321.79,365.82,"1,784,640",-
25-Jul-17,441.35,541.66,338.09,406.9,"524,908",-
24-Jul-17,412.58,578.89,409.21,440.7,"190,952",-
23-Jul-17,555.89,578.97,411.78,413.06,"85,013",-
